"timestamp","platform","order_level","order_type","price","volume"
"2025-08-07 14:02:55.059","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:02:55.059","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:02:55.059","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:02:55.059","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:02:55.059","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:02:53.956","Binance",10,"Ask",116328.06,1.12149
"2025-08-07 14:02:53.956","Binance",9,"Ask",116328.05,0.00005
"2025-08-07 14:02:53.956","Binance",8,"Ask",116328.01,0.80772
"2025-08-07 14:02:53.956","Binance",7,"Ask",116328,0.42863
"2025-08-07 14:02:53.956","Binance",6,"Ask",116327.92,0.01719
"2025-08-07 14:02:53.956","Binance",5,"Ask",116326.69,0.01719
"2025-08-07 14:02:53.956","Binance",4,"Ask",116326,0.03695
"2025-08-07 14:02:53.956","Binance",3,"Ask",116325.67,0.70955
"2025-08-07 14:02:53.956","Binance",2,"Ask",116325.66,0.00005
"2025-08-07 14:02:53.956","Binance",1,"Ask",116324.01,10.34785
"2025-08-07 14:02:53.956","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:02:53.956","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:02:53.956","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:02:53.956","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:02:53.956","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:02:53.956","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:02:53.956","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:02:53.956","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:02:53.956","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:02:53.956","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:02:52.856","Binance",10,"Ask",116330,0.03185
"2025-08-07 14:02:52.856","Binance",9,"Ask",116329.8,0.17198
"2025-08-07 14:02:52.856","Binance",8,"Ask",116329.79,0.00005
"2025-08-07 14:02:52.856","Binance",7,"Ask",116329.63,2.98695
"2025-08-07 14:02:52.856","Binance",6,"Ask",116329.62,0.00045
"2025-08-07 14:02:52.856","Binance",5,"Ask",116329.61,3.54815
"2025-08-07 14:02:52.856","Binance",4,"Ask",116329.23,0.00005
"2025-08-07 14:02:52.856","Binance",3,"Ask",116328.75,0.0002
"2025-08-07 14:02:52.856","Binance",2,"Ask",116328.26,0.29489
"2025-08-07 14:02:52.856","Binance",1,"Ask",116328.07,11.01246
"2025-08-07 14:02:52.856","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:02:52.856","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:02:52.856","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:02:52.856","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:02:52.856","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:02:52.856","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:02:52.856","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:02:52.856","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:02:52.856","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:02:52.856","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:02:33.957","Binance",10,"Ask",116338.68,0.00005
"2025-08-07 14:02:33.957","Binance",9,"Ask",116338.51,0.02592
"2025-08-07 14:02:33.957","Binance",8,"Ask",116338.49,0.01414
"2025-08-07 14:02:33.957","Binance",7,"Ask",116338.41,0.00005
"2025-08-07 14:02:33.957","Binance",6,"Ask",116338.4,0.00005
"2025-08-07 14:02:33.957","Binance",5,"Ask",116338.39,0.00005
"2025-08-07 14:02:33.957","Binance",4,"Ask",116338.38,0.26335
"2025-08-07 14:02:33.957","Binance",3,"Ask",116338,0.03195
"2025-08-07 14:02:33.957","Binance",2,"Ask",116337.99,0.0001
"2025-08-07 14:02:33.957","Binance",1,"Ask",116337.92,11.41331
"2025-08-07 14:02:33.957","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:02:33.957","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:02:33.957","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:02:33.957","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:02:33.957","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:02:33.957","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:02:33.957","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:02:33.957","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:02:33.957","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:02:33.957","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:02:05.733","Binance",10,"Ask",116347.56,0.0001
"2025-08-07 14:02:05.733","Binance",9,"Ask",116347.02,0.00015
"2025-08-07 14:02:05.733","Binance",8,"Ask",116346.98,0.00005
"2025-08-07 14:02:05.733","Binance",7,"Ask",116346.97,0.2857
"2025-08-07 14:02:05.733","Binance",6,"Ask",116346.96,0.95062
"2025-08-07 14:02:05.733","Binance",5,"Ask",116346.95,0.00015
"2025-08-07 14:02:05.733","Binance",4,"Ask",116346.86,0.0001
"2025-08-07 14:02:05.733","Binance",3,"Ask",116346.85,0.00015
"2025-08-07 14:02:05.733","Binance",2,"Ask",116346.84,0.00009
"2025-08-07 14:02:05.733","Binance",1,"Ask",116346.8,16.17575
"2025-08-07 14:02:05.733","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:02:05.733","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:02:05.733","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:02:05.733","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:02:05.733","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:02:05.733","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:02:05.733","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:02:05.733","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:02:05.733","Binance",2,"Bid",116424.71,0.32291
